"Sample_ID","D114"
"PBH-5A_538927.","240"
"PBH-5A_538927.","244"
"Pcyph-TN-1_539","244"
"PMC-1_538928.f","236"
"PMC-1_538928.f","249"
"PMC-10_538937.","228"
"PMC-10_538937.","249"
"PMC-2_538929.f","240"
"PMC-3_538930.f","236"
"PMC-4_538931.f","215"
"PMC-4_538931.f","236"
"PMC-5_538932.f","232"
"PMC-5_538932.f","249"
"PMC-6_538933.f","232"
"PMC-6_538933.f","244"
"PMC-7_538934.f","240"
"PMC-7_538934.f","261"
"PMC-8_538935.f","249"
"PMC-8_538935.f","253"
"PMC-9_538936.f","232"
"PMC-9_538936.f","240"
"PMX-1_538938.f","244"
"PMX-1_538938.f","249"
"PMX-2_538939.f","240"
"PMX-2_538939.f","244"
"PMX-3_538940.f","249"
"PMX-4_538941.f","236"
"PMX-4_538941.f","240"
"PMX-5_538942.f","232"
"PMX-5_538942.f","240"
"TIPP4_539006.f","240"
"TIPP4_539006.f","244"
"TIPP6_539007.f","240"
"TIPP6_539007.f","244"
"TN2_539004.fsa","236"
"TN8_539005.fsa","228"
"TN8_539005.fsa","232"
"UAUC3157_53900","224"
"UAUC3157_53900","240"
"WI92_539030.fs","249"
"WI93_539031.fs","224"
"WI93_539031.fs","249"
"WI94_539032.fs","236"
"WI94_539032.fs","244"
"WI95_539033.fs","236"
"WI95_539033.fs","244"
"WV1_539034.fsa","236"
"WV1_539034.fsa","244"
